areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,10/04/2020,4309
K02000001,United Kingdom,overview,09/04/2020,4851
K02000001,United Kingdom,overview,08/04/2020,5118
K02000001,United Kingdom,overview,07/04/2020,5428
K02000001,United Kingdom,overview,06/04/2020,5256
K02000001,United Kingdom,overview,05/04/2020,3583
K02000001,United Kingdom,overview,04/04/2020,4009
K02000001,United Kingdom,overview,03/04/2020,4889
K02000001,United Kingdom,overview,02/04/2020,4856
K02000001,United Kingdom,overview,01/04/2020,4931
K02000001,United Kingdom,overview,31/03/2020,4515
K02000001,United Kingdom,overview,30/03/2020,4259
K02000001,United Kingdom,overview,29/03/2020,2853
K02000001,United Kingdom,overview,28/03/2020,2816
K02000001,United Kingdom,overview,27/03/2020,3183
K02000001,United Kingdom,overview,26/03/2020,3080
K02000001,United Kingdom,overview,25/03/2020,2688
