RegionName,date,HouseRegionMedianPrice
Yorkshire and The Humber, 3/31/1998,49000
Yorkshire and The Humber, 6/30/1998,49500
Yorkshire and The Humber, 9/30/1998,49950
Yorkshire and The Humber, 3/31/1999,50000
Yorkshire and The Humber,12/31/1998,50000
Yorkshire and The Humber, 6/30/1999,51000
Yorkshire and The Humber, 9/30/1999,52000
Yorkshire and The Humber,12/31/1999,53000
Yorkshire and The Humber, 3/31/2000,53950
Yorkshire and The Humber, 6/30/2000,54950
Yorkshire and The Humber, 9/30/2000,55000
Yorkshire and The Humber,12/31/2000,56000
Yorkshire and The Humber, 3/31/2001,56950
